x,y
1.0,2.1
2.5,3.2
3.1,4.0
4.2,5.5
5.0,6.1
6.3,7.2
7.1,8.0
8.4,9.3
9.2,10.1
10.5,11.2
11.0,12.0
12.3,13.1
13.1,14.0
14.4,15.2
15.2,16.1
16.5,17.3
17.0,18.0
18.3,19.1
19.1,20.0
20.4,21.2
21.2,22.1
22.5,23.3
23.0,24.0
24.3,25.1
25.1,26.0
26.4,27.2
27.2,28.1
28.5,29.3
29.0,30.0
30.3,31.1
31.1,32.0
32.4,33.2
33.2,34.1
34.5,35.3
35.0,36.0
36.3,37.1
37.1,38.0
38.4,39.2
39.2,40.1
40.5,41.3
41.0,42.0
42.3,43.1
43.1,44.0
44.4,45.2
45.2,46.1
46.5,47.3
47.0,48.0
48.3,49.1
49.1,50.0
50.4,51.2
51.2,52.1
52.5,53.3
53.0,54.0
54.3,55.1
55.1,56.0
56.4,57.2
57.2,58.1
58.5,59.3
59.0,60.0
60.3,61.1
61.1,62.0
62.4,63.2
63.2,64.1
64.5,65.3
65.0,66.0
66.3,67.1
67.1,68.0
68.4,69.2
69.2,70.1
70.5,71.3
71.0,72.0
72.3,73.1
73.1,74.0
74.4,75.2
75.2,76.1
76.5,77.3
77.0,78.0
78.3,79.1
79.1,80.0
80.4,81.2
81.2,82.1
82.5,83.3
83.0,84.0
84.3,85.1
85.1,86.0
86.4,87.2
87.2,88.1
88.5,89.3
89.0,90.0
90.3,91.1
91.1,92.0
92.4,93.2
93.2,94.1
94.5,95.3
95.0,96.0
96.3,97.1
97.1,98.0
98.4,99.2
99.2,100.1
100.5,101.3
